author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,VTL,,,,,
1055221626,2017-02-05 22:35:09+00:00, ,8.28371E+17,en,2,0,0,2, ,#flightdeal #businessclass Stockholm to Auckland $2716 RT with Singapore Airlines https://t.co/VIXHU1wshk All deals https://t.co/ob7lLy7xhd,VTL,,,,,
7.13449E+17,2017-02-05 22:07:52+00:00, ,8.28365E+17,en,0,0,0,2, ,RT @MightyTravels: #flightdeal #businessclass Alexandria to Singapore $882 RT with Qatar Airways https://t.co/goEQLcaJcY All deals https://‚Ä?,VTL,,,,,
1055221626,2017-02-05 22:06:47+00:00, ,8.28364E+17,en,1,0,0,2, ,#flightdeal #businessclass Alexandria to Singapore $882 RT with Qatar Airways https://t.co/goEQLcaJcY All deals https://t.co/ob7lLy7xhd,VTL,,,,,
7.13449E+17,2017-02-02 22:06:44+00:00, ,8.27277E+17,en,0,0,0,2, ,RT @MightyTravels: #flightdeal #businessclass Busan to Singapore $713 RT with Vietnam Airlines https://t.co/pZE4TsQbgz All deals https://t.‚Ä?,VTL,,,,,
1055221626,2017-02-02 22:03:57+00:00, ,8.27276E+17,en,1,0,0,2, ,#flightdeal #businessclass Busan to Singapore $713 RT with Vietnam Airlines https://t.co/pZE4TsQbgz All deals https://t.co/ob7lLxPVSD,VTL,,,,,
7.13449E+17,2017-02-02 14:12:33+00:00, ,8.27158E+17,en,0,0,0,2, ,RT @MightyTravels: #flightdeal #businessclass Singapore to Mumbai $576 RT with Malindo Air https://t.co/ouYBlXA1uY All deals https://t.co/o‚Ä?,VTL,,,,,
1055221626,2017-02-02 14:10:44+00:00, ,8.27157E+17,en,1,0,0,2, ,#flightdeal #businessclass Singapore to Mumbai $576 RT with Malindo Air https://t.co/ouYBlXA1uY All deals https://t.co/ob7lLy7xhd,VTL,,,,,
7.13449E+17,2017-02-02 14:07:30+00:00, ,8.27156E+17,en,0,0,0,2, ,RT @MightyTravels: #flightdeal #businessclass Singapore to Delhi $575 RT with Malindo Air https://t.co/Oe1kXQWLDn All deals https://t.co/ob‚Ä?,VTL,,,,,
1055221626,2017-02-02 14:06:44+00:00, ,8.27156E+17,en,1,0,0,2, ,#flightdeal #businessclass Singapore to Delhi $575 RT with Malindo Air https://t.co/Oe1kXQWLDn All deals https://t.co/ob7lLy7xhd,VTL,,,,,
7.13449E+17,2017-03-17 14:38:53+00:00, ,8.42747E+17,en,0,0,0,2, ,RT @MightyTravels: #flightdeal #businessclass Alexandria to Singapore $1071 RT with Qatar Airways https://t.co/cJJIOVCpIa All deals https:/‚Ä?,VTL,,,,,
