author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,border measures,,,,,,,,,
7.50564E+17,2016-08-05 07:58:56+00:00, ,7.61472E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
2266908210,2016-08-05 07:58:17+00:00, ,7.61471E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
2466925058,2016-08-05 07:58:11+00:00, ,7.61471E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
82799604,2016-08-05 07:58:08+00:00, ,7.61471E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
3223239390,2016-08-05 07:57:43+00:00, ,7.61471E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
498659278,2016-08-05 07:56:40+00:00, ,7.61471E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
103301653,2016-08-05 07:55:55+00:00, ,7.61471E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
21071383,2016-08-05 07:54:44+00:00, ,7.6147E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
1495649558,2016-08-05 07:54:36+00:00, ,7.6147E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
38400130,2016-08-05 07:53:59+00:00, ,7.6147E+17,en,14,7,1,80, ,Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA https://t.co/9ffqMRXg2S,border measures,,,,,,,,,
4849100480,2018-04-16 03:31:04+00:00, ,9.85722E+17,en,0,0,0,0, ,"Today's ecommerce updates from #DailyTalkingPoints include: 
1. Singapore launches new ecommerce measuring tool. 
2. East Meet East dating app to arrive in the Philippines. 
3. Pinkoi from Taiwan to enter China, thanks to its cross-border growth. 
https://t.co/KCIw9G3tzm https://t.co/rtweGLcm4d",border measures,,,,,,,,,
1.00105E+18,2018-05-29 15:24:09+00:00, ,1.00148E+18,en,0,0,0,25, ,"RT @thepolicytimes: The least trade-restrictive measures including personal data protection. The US, Japan, and Singapore have proposed fre‚Ä?
1001021223390756864,2018-05-28 10:01:48+00:00, ,1001040836157558786,en,0,0,0,25, ,RT @thepolicytimes: The least trade-restrictive measures including personal data protection. The US",border measures, and Singapore have proposed fre‚Ä?,,,,,,,,
1.0006E+18,2018-05-27 04:51:28+00:00, ,1.0006E+18,en,0,0,0,25, ,"RT @thepolicytimes: The least trade-restrictive measures including personal data protection. The US, Japan, and Singapore have proposed fre‚Ä?
1000359001341677568,2018-05-26 13:00:45+00:00, ,1000361092910956544,en,0,0,0,25, ,RT @thepolicytimes: The least trade-restrictive measures including personal data protection. The US",border measures, and Singapore have proposed fre‚Ä?,,,,,,,,
9.99602E+17,2018-05-24 10:52:46+00:00, ,9.99604E+17,en,0,0,0,25, ,"RT @thepolicytimes: The least trade-restrictive measures including personal data protection. The US, Japan, and Singapore have proposed fre‚Ä?
995241371656048640,2018-05-12 10:26:00+00:00, ,995248721091747840,en,0,0,0,25, ,RT @thepolicytimes: The least trade-restrictive measures including personal data protection. The US",border measures, and Singapore have proposed fre‚Ä?,,,,,,,,
9.94157E+17,2018-05-12 09:09:25+00:00, ,9.95229E+17,en,0,0,0,25, ,"RT @thepolicytimes: The least trade-restrictive measures including personal data protection. The US, Japan, and Singapore have proposed fre‚Ä?
994131137587916800,2018-05-09 10:42:27+00:00, ,994165696497049600,en,0,0,0,25, ,RT @thepolicytimes: The least trade-restrictive measures including personal data protection. The US",border measures, and Singapore have proposed fre‚Ä?,,,,,,,,
9.90691E+17,2018-05-08 14:05:16+00:00, ,9.93854E+17,en,0,0,0,25, ,"RT @thepolicytimes: The least trade-restrictive measures including personal data protection. The US, Japan, and Singapore have proposed fre‚Ä?
41349711,2018-05-08 14:04:44+00:00, ,993854217122172928,en,0,0,0,25, ,RT @thepolicytimes: The least trade-restrictive measures including personal data protection. The US",border measures, and Singapore have proposed fre‚Ä?,,,,,,,,
8.41697E+17,2018-05-08 07:18:13+00:00, ,9.93752E+17,en,40,2,0,25, ,"The least trade-restrictive measures including personal data protection. The US, Japan, and Singapore have proposed free flow of cross-border data electronically.
@wto @MIB_India @DoT_India @TRAI @GoI_MeitY @moefcc 
https://t.co/wQFK6Oe7Jt https://t.co/Wm68OO24LD",border measures,,,,,,,,,
8.98137E+17,2018-06-15 08:50:20+00:00, ,1.00755E+18,en,0,0,0,25, ,"RT @thepolicytimes: The least trade-restrictive measures including personal data protection. The US, Japan, and Singapore have proposed fre‚Ä?
1006839287747244032,2018-06-13 12:21:37+00:00, ,1006874226756685829,en,0,0,0,25, ,RT @thepolicytimes: The least trade-restrictive measures including personal data protection. The US",border measures, and Singapore have proposed fre‚Ä?,,,,,,,,
